Packet Size (bytes)	Avgerage Round Trip time (usec)	Average Overhead Time(usec)	Avg bandwidth (Mbps)
4	24.416114	5.022529	0.163826
8	24.223856	5.274697	0.330253
512	22.809201	5.693863	22.447082
1024	24.573497	5.362073	41.670911
1400	24.480764	5.2755	57.187757
1600	25.789253	5.472716	62.041348
2048	25.153733	5.68086	81.419327
4096	24.003183	5.206148	170.644038
8192	25.147315	6.160544	325.760428
16384	26.623611	5.984264	615.393609
32768	26.503417	7.169179	1236.368894
45000	30.718978	10.198812	1464.892484
60000	33.430043	11.396356	1794.792764
65000	35.228132	11.825531	1845.116299
