packet size (bytes)	Avg RTT (single machine)	Average overhead	Avg bandwidth (single machine)
4	49.947199	8.062997	0.080085
8	42.233049	7.10292	0.189425
512	40.283138	5.878434	12.710033
1024	39.542546	6.040327	25.896158
1400	39.813087	5.881826	35.164317
1600	39.681151	5.815135	40.321411
2048	36.390127	8.28817	56.279001
4096	51.941047	10.038497	78.858634
8192	52.875259	9.596547	154.930683
16384	55.758953	9.278472	293.83622
32768	59.190467	10.395856	553.60266
45000	63.995029	14.115093	703.179617
60000	66.881353	13.371232	897.111038
65000	65.321959	14.379749	995.071198
