Packet Number	RTT time (usec) 
0	52.022
1	80.655
2	79.603
3	72.965
4	60.396
5	62.727
6	55.935
7	53.808
8	52.716
9	52.969
10	51.256
11	51.456
12	51.754
13	52.639
14	51.393
15	52.129
16	51.546
17	51.729
18	51.634
19	51.192
20	51.152
21	51.889
22	51.35
23	51.183
24	51.242
25	51.13
26	51.265
27	51.446
28	51.328
29	51.523
30	51.496
31	51.491
32	51.543
33	46.533
34	28.57
35	28.667
36	28.635
37	28.707
38	28.742
39	28.656
40	28.335
41	29.232
42	28.75
43	28.532
44	28.579
45	28.769
46	28.443
47	28.686
48	28.568
49	28.716
50	28.513
51	28.79
52	28.735
53	28.76
54	28.651
55	28.51
56	28.681
57	28.471
58	28.565
59	30.172
60	28.64
61	28.973
62	28.503
63	28.676
64	28.407
65	28.781
66	28.561
67	29.722
68	28.829
69	28.581
70	28.486
71	28.693
72	28.811
73	28.507
74	28.504
75	28.69
76	28.369
77	28.919
78	28.639
79	28.811
80	28.604
81	28.67
82	28.622
83	28.62
84	28.863
85	28.702
86	28.723
87	28.616
88	28.487
89	28.34
90	28.728
91	28.598
92	28.551
93	28.83
94	28.503
95	28.6
96	28.79
97	28.796
98	28.554
99	28.311
100	28.462
101	28.568
102	36.045
103	24.235
104	24.114
105	24.054
106	24.035
107	24.252
108	24.183
109	24.251
110	23.985
111	24.248
112	24.234
113	24.26
114	24.345
115	24.078
116	24.176
117	24.23
118	24.233
119	24.074
120	24.209
121	24.213
122	24.189
123	24.127
124	24.047
125	24.272
126	24.371
127	24.138
128	24.212
129	24.137
130	24.108
131	24.075
132	24.403
133	24.12
134	24.117
135	24.131
136	24.075
137	24.175
138	24.268
139	24.089
140	31.797
141	23.391
142	23.525
143	23.68
144	23.413
145	24.15
146	23.659
147	23.437
148	23.384
149	23.532
150	23.336
151	23.342
152	23.279
153	23.359
154	23.176
155	23.296
156	23.485
157	23.481
158	23.294
159	23.488
160	23.322
161	23.592
162	23.481
163	23.37
164	23.292
165	23.416
166	23.366
167	23.329
168	23.53
169	23.382
170	23.338
171	23.46
172	23.418
173	23.48
174	23.555
175	23.312
176	23.338
177	23.575
178	23.315
179	23.341
180	23.291
181	31.085
182	22.931
183	22.703
184	22.601
185	22.747
186	22.904
187	22.593
188	22.606
189	22.934
190	22.614
191	22.904
192	22.798
193	22.689
194	22.71
195	22.731
196	22.79
197	22.815
198	22.915
199	22.657
200	22.809
201	22.859
202	22.295
203	22.262
204	23.928
205	32.538
206	32.493
207	23.162
208	26.501
209	22.759
210	28.823
211	23.286
212	23.191
213	22.958
214	26.778
215	22.422
216	22.951
217	22.824
218	22.85
219	22.727
220	22.357
221	22.419
222	26.867
223	33.078
224	32.736
225	32.351
226	23.047
227	23.347
228	23.015
229	22.818
230	22.682
231	22.764
232	22.794
233	22.927
234	22.871
235	22.85
236	22.684
237	22.8
238	22.868
239	22.866
240	22.886
241	22.991
242	22.822
243	22.744
244	22.755
245	22.749
246	22.698
247	22.712
248	22.787
249	22.701
250	22.743
251	22.698
252	22.706
253	22.659
254	22.684
255	22.863
256	22.67
257	22.695
258	22.713
259	22.675
260	22.737
261	22.869
262	22.626
263	22.641
264	22.677
265	22.599
266	22.664
267	22.705
268	22.674
269	22.771
270	22.904
271	22.973
272	22.847
273	22.894
274	22.754
275	22.834
276	22.804
277	22.868
