Packet Number	RTT time (usec)
0	161.975
1	178.565
2	155.162
3	96.125
4	75.323
5	1022843.074
6	2048056.929
7	177.417
8	183.601
9	1023439.751
10	150.903
11	158.674
12	157.926
13	157.254
14	156.703
15	1023114.142
16	1023877.592
17	1024103.115
18	198.943
19	198.254
20	198.905
21	2047279.192
22	241.955
23	228.459
24	228.484
25	227.738
26	227.382
27	1022591.352
28	3071741.546
29	99.338
30	3071851.486
31	58.653
32	2047894.776
33	87.867
34	91.136
35	2047832.71
36	107.377
37	91.025
38	1023772.778
39	101.39
40	92.898
41	85.984
42	1023676.902
43	140.121
44	100.352
45	1023741.607
46	152.466
47	2047790.026
48	215.536
49	178.567
50	191.509
51	1023351.822
52	237.701
53	238.598
54	189.244
55	100.129
56	117.164
57	1022997.324
58	1023921.364
59	1027905.349
60	245.503
61	1019658.173
62	247.669
63	235.886
64	2047364.032
65	3071871.439
66	1023959.235
67	242.431
68	1027436.665
69	1020071.002
70	3071782.637
71	54.554
72	2047933.475
73	1024042.575
74	163.877
75	160.338
76	158.63
77	163.067
78	128.575
79	1023121.035
80	180.633
81	1023751.399
82	159.656
83	152.134
84	143.898
85	146.768
86	78.013
87	57.048
88	53.48
89	1023252.132
90	1023842.341
91	3071899.676
92	200.626
93	137.795
94	202.246
95	220.383
96	5119127.281
97	247.819
98	220.321
99	2047157.859
100	49.606
101	2047839.282
102	2048119.797
103	159.01
104	1023806.849
105	166.001
106	2047718.743
107	180.338
108	181.626
109	182.34
110	197.533
111	124.97
112	80.417
113	71.327
114	78.495
115	91.32
116	70.454
117	69.584
118	69.164
119	68.87
120	69.419
121	69.543
122	70.052
123	68.938
124	69.122
125	68.875
126	69.093
127	1022019.315
128	198.134
129	169.764
130	1023493.872
131	164.069
132	131.472
133	178.139
134	146.724
135	77.064
136	81.375
137	80.103
138	1023034.663
139	200.827
140	191.253
141	1023567.245
142	1023824.402
143	213.943
144	216.777
145	1023454.519
146	1023945.298
147	200.129
148	3071686.363
149	1023884.51
150	1023928.21
151	2047781.354
152	1023971.216
153	156.847
154	3071625.6
155	85.429
156	134.654
157	3071869.203
158	166.359
159	169.456
160	145.627
161	170.633
162	147.328
163	92.923
164	79.121
165	67.853
166	1022868.809
167	1024030.959
168	218.075
169	173.573
170	139.841
171	1023348.399
172	211.913
173	1023679.289
174	1023969.249
175	1023866.533
176	220.299
177	210.274
178	210.109
179	1023274.948
180	241.694
181	200.159
182	218.782
183	203.001
184	192.522
185	108.714
186	87.962
187	95.624
188	95.644
189	100.024
190	2046268.928
191	2047872.023
192	245.197
193	1023704.085
194	241.038
195	3071370.795
196	1023937.488
197	93.389
198	1023887.059
199	102.521
200	1023838.71
201	119.931
202	114.826
203	1023731.072
204	106.498
205	1023984.833
206	178.934
207	172.63
208	171.543
209	170.876
210	106.856
211	77.692
212	71.116
213	2046921.249
214	201.903
215	222.57
216	214.768
217	213.032
218	1023002.984
219	164.877
220	198.498
221	203.874
222	201.656
223	128.94
224	1023031.168
225	229.457
226	217.178
227	219.238
228	219.474
229	1022962.92
230	234.603
231	2047583.189
232	3071949.729
233	241.85
234	229.672
235	1023465.214
236	238.057
237	251.277
238	241.7
239	241.354
240	4094608.763
241	45.967
242	58.969
243	89.074
244	70.178
245	65.541
246	76.443
247	42.559
248	42.161
249	4095628.249
250	253.146
251	223.152
252	1023420.465
253	237.61
254	222.67
255	1023435.05
256	263.134
257	239.525
258	240.136
259	241.088
260	153.477
261	99.714
262	100.891
263	147.328
264	122.071
265	1022186.632
266	235.195
267	223.853
268	222.816
269	222.551
270	1022990.913
271	252.975
272	245.975
273	238.181
274	2047048.439
275	219.148
276	1023712.864
277	1023935.231
278	254.138
279	233.992
280	236.809
281	145.404
282	2046966.454
283	1023910.408
284	1023929.218
285	1023882.425
286	1023952.285
287	1023877.627
288	1023925.638
289	238.577
290	1023647.078
291	252.755
292	242.978
293	240.652
294	238.727
295	150.109
296	100.1
297	96.797
298	141.224
299	2046346.157
300	1023933.937
301	1023805.405
302	1024002.349
303	1023962.323
304	208.935
305	163.34
306	184.553
307	122.396
308	1023100.745
309	186.291
310	182.762
311	184.794
312	187.451
313	163.519
314	101.012
315	73.213
316	2046803.454
317	255.796
318	243.749
319	1023371.059
320	2047890.088
321	236.708
322	223.663
323	226.564
324	225.718
325	190.592
326	97.559
327	117.575
328	1022555.968
329	239.796
330	1023638.505
331	2047896.262
332	1023914.98
333	1023907.474
334	241.308
335	229.191
336	227.432
337	229.411
338	150.866
339	99.053
340	86.799
341	86.193
342	1022488.757
343	263.885
344	247.468
345	1023403.392
346	236.748
347	234.964
348	238.913
349	238.212
350	145.133
351	107.682
352	88.332
353	88.197
354	93.53
355	2046284.338
356	246.375
357	239.168
358	226.144
359	225.868
360	223.809
361	1022702.885
362	243.759
363	231.766
364	225.933
365	224.961
366	1022932.497
367	3071854.386
368	220.929
369	140.081
370	1023632.603
371	264.677
372	2051563.317
373	244.877
374	1019705.753
375	255.22
376	243.308
377	229.296
378	1023120.311
379	231.27
380	1023640.232
381	195.603
382	235.315
383	230.333
384	2047097.121
385	159.345
386	211.355
387	2047550.273
388	213.505
389	161.495
390	2047439.678
391	189.544
392	156.927
393	172.368
394	1023450.905
395	239.535
396	202.259
397	2047406.286
398	1023941.85
399	1023901.793
400	228.64
401	233.817
402	1023192.788
403	115.858
404	121.616
405	118.765
406	116.915
407	2047628.245
408	261.139
409	193.133
410	222.034
411	189.039
412	2046957.202
413	165.218
414	1023811.038
415	239.365
416	202.174
417	219.102
418	206.048
419	191.82
420	131.055
421	2046633.729
422	3071878.526
423	243.919
424	194.521
425	216.998
426	194.826
427	190.758
428	1022843.019
429	220.912
430	212.803
431	196.16
432	192.291
433	131.552
434	1022893.78
435	1023924.73
436	210.824
437	1023649.761
438	1023956.325
439	241.98
440	204.324
441	1023376.211
442	1023948.198
443	238.502
444	231.792
445	196.737
446	190.648
447	110.709
448	97.914
449	96.527
450	96.23
451	2046541.286
452	248.706
453	198.661
454	221.954
455	1023224.605
456	253.536
457	244.957
458	1023305.059
459	227.963
460	232.659
461	217.459
462	143.955
463	98.942
464	86.439
465	85.511
466	85.205
467	86.042
468	89.049
469	1022573.004
470	1023897.078
471	1023920.792
472	239.775
473	241.218
474	1023389.934
475	256.975
476	241.303
477	235.786
478	236.372
479	151.427
480	111.125
481	88.859
482	89.23
483	96.546
484	125.759
485	88.588
486	2046003.018
487	1023941.342
488	235.31
489	1023653.077
490	232.278
491	222.045
492	223.102
493	222.786
494	185.12
495	3070708.911
496	224.741
497	1023720.837
498	2047869.272
499	1023957.418
500	1023915.591
501	240.397
502	229.521
503	227.868
504	228.895
505	1022619.957
506	47.448
507	106.039
508	126.219
509	5119712.599
510	1024129.301
511	1023886.818
512	242.386
513	1023608.221
514	213.481
515	1023705.816
516	232.629
517	1023619.934
518	193.319
519	192.662
520	1023582.592
521	227.137
522	224.951
523	218.301
524	219.268
525	221.448
526	188.292
527	94.827
528	1022478.948
529	243.719
530	227.477
531	228.51
532	2046871.465
533	87.653
534	94.262
535	100.366
536	1023872.25
537	3071845.693
538	212.317
539	223.102
540	224.56
541	178.664
542	175.097
543	2046864.325
544	1023923.018
545	241.089
546	232.133
547	231.481
548	224.535
549	225.262
