 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 3994 ns
Time to marshall string: 0 s 3462 ns
Time to marshall string: 0 s 3289 ns
Time to marshall string: 0 s 3448 ns
Time to marshall string: 0 s 3046 ns
Time to marshall string: 0 s 4102 ns
Time to marshall string: 0 s 3298 ns
Time to marshall string: 0 s 7846 ns
Time to marshall string: 0 s 3042 ns
Time to marshall string: 0 s 3993 ns
Time to marshall string: 0 s 3917 ns
Time to marshall string: 0 s 3410 ns
Time to marshall string: 0 s 3619 ns
Time to marshall string: 0 s 3489 ns
Time to marshall string: 0 s 3927 ns
Time to marshall string: 0 s 3094 ns
Time to marshall string: 0 s 3653 ns
Time to marshall string: 0 s 2655 ns
Time to marshall string: 0 s 2833 ns
Time to marshall string: 0 s 3335 ns
Time to marshall string: 0 s 2764 ns
Time to marshall string: 0 s 2790 ns
Time to marshall string: 0 s 2497 ns
Time to marshall string: 0 s 2807 ns
Time to marshall string: 0 s 2719 ns
Time to marshall string: 0 s 2666 ns
Time to marshall string: 0 s 11853 ns
Time to marshall string: 0 s 2377 ns
Time to marshall string: 0 s 2845 ns
Time to marshall string: 0 s 2599 ns
Time to marshall string: 0 s 2784 ns
Time to marshall string: 0 s 2812 ns
Time to marshall string: 0 s 2759 ns
Time to marshall string: 0 s 2714 ns
Time to marshall string: 0 s 2795 ns
Time to marshall string: 0 s 2657 ns
Time to marshall string: 0 s 2276 ns
Time to marshall string: 0 s 2726 ns
Time to marshall string: 0 s 2778 ns
Time to marshall string: 0 s 2882 ns
Time to marshall string: 0 s 2555 ns
Time to marshall string: 0 s 2389 ns
Time to marshall string: 0 s 3413 ns
Time to marshall string: 0 s 2675 ns
Time to marshall string: 0 s 2819 ns
Time to marshall string: 0 s 2558 ns
Time to marshall string: 0 s 2539 ns
Time to marshall string: 0 s 2710 ns
Time to marshall string: 0 s 2606 ns
Time to marshall string: 0 s 3124 ns
Time to marshall string: 0 s 2653 ns
Time to marshall string: 0 s 2186 ns
Time to marshall string: 0 s 2825 ns
Time to marshall string: 0 s 2573 ns
Time to marshall string: 0 s 5048 ns
Time to marshall string: 0 s 2824 ns
Time to marshall string: 0 s 2537 ns
Time to marshall string: 0 s 2653 ns
Time to marshall string: 0 s 2771 ns
Time to marshall string: 0 s 2575 ns
Time to marshall string: 0 s 2585 ns
Time to marshall string: 0 s 2377 ns
Time to marshall string: 0 s 2957 ns
Time to marshall string: 0 s 2789 ns
Time to marshall string: 0 s 2731 ns
Time to marshall string: 0 s 2864 ns
Time to marshall string: 0 s 2792 ns
Time to marshall string: 0 s 2562 ns
Time to marshall string: 0 s 2398 ns
Time to marshall string: 0 s 2644 ns
Time to marshall string: 0 s 3225 ns
Time to marshall string: 0 s 2306 ns
Time to marshall string: 0 s 3108 ns
Time to marshall string: 0 s 2490 ns
Time to marshall string: 0 s 2567 ns
Time to marshall string: 0 s 2325 ns
Time to marshall string: 0 s 2700 ns
Time to marshall string: 0 s 2464 ns
Time to marshall string: 0 s 2460 ns
Time to marshall string: 0 s 2390 ns
Time to marshall string: 0 s 2292 ns
Time to marshall string: 0 s 2961 ns
Time to marshall string: 0 s 2770 ns
Time to marshall string: 0 s 2358 ns
Time to marshall string: 0 s 2579 ns
Time to marshall string: 0 s 2558 ns
Time to marshall string: 0 s 2563 ns
Time to marshall string: 0 s 2497 ns
Time to marshall string: 0 s 2727 ns
Time to marshall string: 0 s 3099 ns
Time to marshall string: 0 s 3094 ns
Time to marshall string: 0 s 3718 ns
Time to marshall string: 0 s 3512 ns
Time to marshall string: 0 s 3823 ns
Time to marshall string: 0 s 2953 ns
Time to marshall string: 0 s 3488 ns
Time to marshall string: 0 s 3554 ns
Time to marshall string: 0 s 3464 ns
Time to marshall string: 0 s 8802 ns
Time to marshall string: 0 s 3136 ns
 *** TESTING STRING OF LEN = 1024 *** 
Time to marshall string: 0 s 3558 ns
Time to marshall string: 0 s 4472 ns
Time to marshall string: 0 s 3774 ns
Time to marshall string: 0 s 3718 ns
Time to marshall string: 0 s 3557 ns
Time to marshall string: 0 s 3928 ns
Time to marshall string: 0 s 3881 ns
Time to marshall string: 0 s 3879 ns
Time to marshall string: 0 s 3604 ns
Time to marshall string: 0 s 3558 ns
Time to marshall string: 0 s 3074 ns
Time to marshall string: 0 s 3294 ns
Time to marshall string: 0 s 3127 ns
Time to marshall string: 0 s 3223 ns
Time to marshall string: 0 s 2605 ns
Time to marshall string: 0 s 2979 ns
Time to marshall string: 0 s 3616 ns
Time to marshall string: 0 s 2690 ns
Time to marshall string: 0 s 3029 ns
Time to marshall string: 0 s 3134 ns
Time to marshall string: 0 s 3220 ns
Time to marshall string: 0 s 3097 ns
Time to marshall string: 0 s 3154 ns
Time to marshall string: 0 s 3305 ns
Time to marshall string: 0 s 2926 ns
Time to marshall string: 0 s 2905 ns
Time to marshall string: 0 s 3242 ns
Time to marshall string: 0 s 4234 ns
Time to marshall string: 0 s 4549 ns
Time to marshall string: 0 s 3729 ns
Time to marshall string: 0 s 4565 ns
Time to marshall string: 0 s 3827 ns
Time to marshall string: 0 s 4108 ns
Time to marshall string: 0 s 3917 ns
Time to marshall string: 0 s 4286 ns
Time to marshall string: 0 s 3765 ns
Time to marshall string: 0 s 4004 ns
Time to marshall string: 0 s 3488 ns
Time to marshall string: 0 s 3793 ns
Time to marshall string: 0 s 3532 ns
Time to marshall string: 0 s 4030 ns
Time to marshall string: 0 s 4055 ns
Time to marshall string: 0 s 3993 ns
Time to marshall string: 0 s 3496 ns
Time to marshall string: 0 s 3589 ns
Time to marshall string: 0 s 3653 ns
Time to marshall string: 0 s 3186 ns
Time to marshall string: 0 s 4000 ns
Time to marshall string: 0 s 3373 ns
Time to marshall string: 0 s 3664 ns
Time to marshall string: 0 s 4366 ns
Time to marshall string: 0 s 3823 ns
Time to marshall string: 0 s 4635 ns
Time to marshall string: 0 s 3535 ns
Time to marshall string: 0 s 3683 ns
Time to marshall string: 0 s 3572 ns
Time to marshall string: 0 s 3484 ns
Time to marshall string: 0 s 3818 ns
Time to marshall string: 0 s 3853 ns
Time to marshall string: 0 s 3937 ns
Time to marshall string: 0 s 3586 ns
Time to marshall string: 0 s 4156 ns
Time to marshall string: 0 s 4375 ns
Time to marshall string: 0 s 3757 ns
Time to marshall string: 0 s 4191 ns
Time to marshall string: 0 s 4106 ns
Time to marshall string: 0 s 4367 ns
Time to marshall string: 0 s 3586 ns
Time to marshall string: 0 s 3678 ns
Time to marshall string: 0 s 4300 ns
Time to marshall string: 0 s 4088 ns
Time to marshall string: 0 s 4024 ns
Time to marshall string: 0 s 3919 ns
