 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 3800 ns
Time to marshall string: 0 s 2100 ns
Time to marshall string: 0 s 2100 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 2000 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1600 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1600 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1600 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1700 ns
Time to marshall string: 0 s 1800 ns
