 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 3846 ns
Time to marshall string: 0 s 2416 ns
Time to marshall string: 0 s 1677 ns
Time to marshall string: 0 s 1705 ns
Time to marshall string: 0 s 1687 ns
Time to marshall string: 0 s 1648 ns
Time to marshall string: 0 s 1465 ns
Time to marshall string: 0 s 1517 ns
Time to marshall string: 0 s 1511 ns
Time to marshall string: 0 s 1409 ns
Time to marshall string: 0 s 1534 ns
Time to marshall string: 0 s 1509 ns
Time to marshall string: 0 s 1465 ns
Time to marshall string: 0 s 1584 ns
Time to marshall string: 0 s 1603 ns
Time to marshall string: 0 s 1447 ns
Time to marshall string: 0 s 1398 ns
Time to marshall string: 0 s 1470 ns
Time to marshall string: 0 s 1524 ns
Time to marshall string: 0 s 1581 ns
Time to marshall string: 0 s 2026 ns
Time to marshall string: 0 s 1845 ns
Time to marshall string: 0 s 1730 ns
Time to marshall string: 0 s 1630 ns
Time to marshall string: 0 s 1624 ns
Time to marshall string: 0 s 1639 ns
Time to marshall string: 0 s 1465 ns
Time to marshall string: 0 s 1923 ns
Time to marshall string: 0 s 1723 ns
Time to marshall string: 0 s 1654 ns
Time to marshall string: 0 s 1609 ns
Time to marshall string: 0 s 1545 ns
Time to marshall string: 0 s 1583 ns
Time to marshall string: 0 s 1580 ns
Time to marshall string: 0 s 2579 ns
Time to marshall string: 0 s 1929 ns
Time to marshall string: 0 s 1666 ns
Time to marshall string: 0 s 1593 ns
Time to marshall string: 0 s 1831 ns
Time to marshall string: 0 s 1624 ns
Time to marshall string: 0 s 1636 ns
Time to marshall string: 0 s 1644 ns
Time to marshall string: 0 s 1596 ns
Time to marshall string: 0 s 1714 ns
Time to marshall string: 0 s 1551 ns
Time to marshall string: 0 s 1539 ns
Time to marshall string: 0 s 1524 ns
Time to marshall string: 0 s 1488 ns
Time to marshall string: 0 s 1538 ns
Time to marshall string: 0 s 1521 ns
Time to marshall string: 0 s 1464 ns
Time to marshall string: 0 s 1518 ns
Time to marshall string: 0 s 1538 ns
Time to marshall string: 0 s 1550 ns
Time to marshall string: 0 s 1449 ns
Time to marshall string: 0 s 1563 ns
Time to marshall string: 0 s 1600 ns
Time to marshall string: 0 s 1561 ns
Time to marshall string: 0 s 1494 ns
Time to marshall string: 0 s 1478 ns
Time to marshall string: 0 s 1516 ns
Time to marshall string: 0 s 1496 ns
Time to marshall string: 0 s 1480 ns
Time to marshall string: 0 s 1495 ns
Time to marshall string: 0 s 1387 ns
Time to marshall string: 0 s 1481 ns
Time to marshall string: 0 s 1448 ns
Time to marshall string: 0 s 1625 ns
Time to marshall string: 0 s 1426 ns
Time to marshall string: 0 s 1457 ns
Time to marshall string: 0 s 1340 ns
Time to marshall string: 0 s 1837 ns
Time to marshall string: 0 s 1733 ns
Time to marshall string: 0 s 1708 ns
Time to marshall string: 0 s 1635 ns
Time to marshall string: 0 s 1590 ns
Time to marshall string: 0 s 1593 ns
Time to marshall string: 0 s 1620 ns
Time to marshall string: 0 s 1505 ns
Time to marshall string: 0 s 1889 ns
Time to marshall string: 0 s 1745 ns
Time to marshall string: 0 s 1646 ns
Time to marshall string: 0 s 1521 ns
Time to marshall string: 0 s 1525 ns
Time to marshall string: 0 s 1498 ns
Time to marshall string: 0 s 1478 ns
Time to marshall string: 0 s 1493 ns
Time to marshall string: 0 s 1519 ns
Time to marshall string: 0 s 1497 ns
Time to marshall string: 0 s 1518 ns
Time to marshall string: 0 s 1497 ns
Time to marshall string: 0 s 1973 ns
Time to marshall string: 0 s 1773 ns
Time to marshall string: 0 s 1804 ns
Time to marshall string: 0 s 1571 ns
Time to marshall string: 0 s 1562 ns
Time to marshall string: 0 s 1587 ns
Time to marshall string: 0 s 1647 ns
Time to marshall string: 0 s 1572 ns
Time to marshall string: 0 s 1524 ns
 *** TESTING STRING OF LEN = 1024 *** 
Time to marshall string: 0 s 2544 ns
Time to marshall string: 0 s 1976 ns
Time to marshall string: 0 s 1907 ns
Time to marshall string: 0 s 1889 ns
Time to marshall string: 0 s 1943 ns
Time to marshall string: 0 s 1969 ns
Time to marshall string: 0 s 1963 ns
Time to marshall string: 0 s 1929 ns
Time to marshall string: 0 s 1809 ns
Time to marshall string: 0 s 1964 ns
Time to marshall string: 0 s 1947 ns
Time to marshall string: 0 s 1984 ns
Time to marshall string: 0 s 1948 ns
Time to marshall string: 0 s 1934 ns
Time to marshall string: 0 s 1907 ns
Time to marshall string: 0 s 1828 ns
Time to marshall string: 0 s 1941 ns
Time to marshall string: 0 s 1895 ns
Time to marshall string: 0 s 1858 ns
Time to marshall string: 0 s 1979 ns
Time to marshall string: 0 s 1871 ns
Time to marshall string: 0 s 1894 ns
Time to marshall string: 0 s 1917 ns
Time to marshall string: 0 s 1936 ns
Time to marshall string: 0 s 1919 ns
Time to marshall string: 0 s 1901 ns
Time to marshall string: 0 s 1928 ns
Time to marshall string: 0 s 1950 ns
Time to marshall string: 0 s 1793 ns
Time to marshall string: 0 s 1887 ns
Time to marshall string: 0 s 1867 ns
Time to marshall string: 0 s 1848 ns
Time to marshall string: 0 s 1841 ns
Time to marshall string: 0 s 1832 ns
Time to marshall string: 0 s 1834 ns
Time to marshall string: 0 s 1758 ns
Time to marshall string: 0 s 1847 ns
Time to marshall string: 0 s 1803 ns
Time to marshall string: 0 s 2080 ns
Time to marshall string: 0 s 2143 ns
Time to marshall string: 0 s 1980 ns
Time to marshall string: 0 s 2039 ns
Time to marshall string: 0 s 1999 ns
Time to marshall string: 0 s 1862 ns
Time to marshall string: 0 s 1829 ns
Time to marshall string: 0 s 2065 ns
Time to marshall string: 0 s 1860 ns
Time to marshall string: 0 s 1900 ns
Time to marshall string: 0 s 1948 ns
Time to marshall string: 0 s 1892 ns
Time to marshall string: 0 s 1923 ns
