batch,version,case,fname,ns
 read-perf, basic, 256_KB, getattr,1481280.298076923
 read-perf, basic, 256_KB, open,1635549.56
 read-perf, basic, 256_KB, read,22099.755
 read-perf, basic, 256_KB, release,9961.16
 read-perf, basic, 4_KB, getattr,1524234.8333333333
 read-perf, basic, 4_KB, open,2037809.08
 read-perf, basic, 4_KB, read,3453.04
 read-perf, basic, 4_KB, release,9998.09
 read-perf, basic, 64_B, getattr,1568033.637254902
 read-perf, basic, 64_B, open,1680964.71
 read-perf, basic, 64_B, read,3110.02
 read-perf, basic, 64_B, release,10540.08
 read-perf, perf, 16_MB, getattr,90263274.78846154
 read-perf, perf, 16_MB, open,367387238.91
 read-perf, perf, 16_MB, read,59363.71507692308
 read-perf, perf, 16_MB, release,284132291.22
 read-perf, perf, 256_KB, getattr,1691357.7087378642
 read-perf, perf, 256_KB, open,11864034.46
 read-perf, perf, 256_KB, read,84859.98
 read-perf, perf, 256_KB, release,6793723.27
 read-perf, perf, 4_KB, getattr,1344717.0582524273
 read-perf, perf, 4_KB, open,2908292.67
 read-perf, perf, 4_KB, read,6350.57
 read-perf, perf, 4_KB, release,2052119.07
 read-perf, perf, 64_B, getattr,1500194.912621359
 read-perf, perf, 64_B, open,3085346.67
 read-perf, perf, 64_B, read,5495.08
 read-perf, perf, 64_B, release,2027579.97
 write-perf, basic, 256_KB, getattr,1829987.3934426229
 write-perf, basic, 256_KB, mknod,1220514.0
 write-perf, basic, 256_KB, open,2310210.41
 write-perf, basic, 256_KB, read,37731.925
 write-perf, basic, 256_KB, release,3270707.695
 write-perf, basic, 256_KB, write,8522179.015
 write-perf, basic, 4_KB, getattr,1489301.4834437086
 write-perf, basic, 4_KB, mknod,1980323.0
 write-perf, basic, 4_KB, open,1582149.565
 write-perf, basic, 4_KB, read,3243.02
 write-perf, basic, 4_KB, release,1797875.08
 write-perf, basic, 4_KB, write,7061131.82
 write-perf, basic, 64_B, getattr,1476844.0496688741
 write-perf, basic, 64_B, mknod,2129321.0
 write-perf, basic, 64_B, open,1563514.9
 write-perf, basic, 64_B, read,4759.07
 write-perf, basic, 64_B, release,1718035.395
 write-perf, basic, 64_B, write,9587352.52
 write-perf, perf, 16_MB, getattr,165436145.99257424
 write-perf, perf, 16_MB, mknod,1523017.0
 write-perf, perf, 16_MB, open,6309344.64
 write-perf, perf, 16_MB, read,94588.28061538462
 write-perf, perf, 16_MB, release,626957375.105
 write-perf, perf, 16_MB, write,8684036.142109375
 write-perf, perf, 256_KB, getattr,4234990.105263158
 write-perf, perf, 256_KB, open,1620259.63
 write-perf, perf, 256_KB, read,89695.46
 write-perf, perf, 256_KB, release,11900610.92
 write-perf, perf, 256_KB, write,9024850.6
 write-perf, perf, 4_KB, getattr,1643400.9834437086
 write-perf, perf, 4_KB, open,1612210.35
 write-perf, perf, 4_KB, read,4900.535
 write-perf, perf, 4_KB, release,2333395.455
 write-perf, perf, 4_KB, write,7532738.38
 write-perf, perf, 64_B, getattr,1546170.7161716172
 write-perf, perf, 64_B, open,1548944.6
 write-perf, perf, 64_B, read,7414.08
 write-perf, perf, 64_B, release,2221514.37
 write-perf, perf, 64_B, write,8029068.87
