batch,version,case,fname,ns
 read-perf, basic, 256_KB, getattr,1381115.0
 read-perf, basic, 256_KB, open,1374115.0
 read-perf, basic, 256_KB, read,24900.5
 read-perf, basic, 256_KB, release,8400.0
 read-perf, basic, 4_KB, getattr,1380714.5
 read-perf, basic, 4_KB, open,1511014.0
 read-perf, basic, 4_KB, read,2600.0
 read-perf, basic, 4_KB, release,7850.5
 read-perf, basic, 64_B, getattr,1390408.5
 read-perf, basic, 64_B, open,1456059.5
 read-perf, basic, 64_B, read,2700.0
 read-perf, basic, 64_B, release,8500.0
 read-perf, perf, 16_MB, getattr,1864718.0
 read-perf, perf, 16_MB, open,535507581.5
 read-perf, perf, 16_MB, read,49200.0
 read-perf, perf, 16_MB, release,281619836.0
 read-perf, perf, 256_KB, getattr,1452616.0
 read-perf, perf, 256_KB, open,11682229.0
 read-perf, perf, 256_KB, read,30150.0
 read-perf, perf, 256_KB, release,6501572.0
 read-perf, perf, 4_KB, getattr,1259314.0
 read-perf, perf, 4_KB, open,2774131.0
 read-perf, perf, 4_KB, read,5500.0
 read-perf, perf, 4_KB, release,1948422.0
 read-perf, perf, 64_B, getattr,1364619.0
 read-perf, perf, 64_B, open,2945736.5
 read-perf, perf, 64_B, read,5200.0
 read-perf, perf, 64_B, release,1755471.5
 write-perf, basic, 256_KB, getattr,1522117.0
 write-perf, basic, 256_KB, mknod,1220514.0
 write-perf, basic, 256_KB, open,1365215.0
 write-perf, basic, 256_KB, read,25550.5
 write-perf, basic, 256_KB, release,2755681.5
 write-perf, basic, 256_KB, write,7930939.0
 write-perf, basic, 4_KB, getattr,1369816.0
 write-perf, basic, 4_KB, mknod,1980323.0
 write-perf, basic, 4_KB, open,1379466.0
 write-perf, basic, 4_KB, read,3000.0
 write-perf, basic, 4_KB, release,1336115.5
 write-perf, basic, 4_KB, write,6555824.5
 write-perf, basic, 64_B, getattr,1365614.0
 write-perf, basic, 64_B, mknod,2129321.0
 write-perf, basic, 64_B, open,1395863.5
 write-perf, basic, 64_B, read,2600.0
 write-perf, basic, 64_B, release,1356113.0
 write-perf, basic, 64_B, write,7027719.5
 write-perf, perf, 16_MB, getattr,2164575.5
 write-perf, perf, 16_MB, mknod,1523017.0
 write-perf, perf, 16_MB, open,1464566.5
 write-perf, perf, 16_MB, read,83501.0
 write-perf, perf, 16_MB, release,619756206.0
 write-perf, perf, 16_MB, write,7923638.5
 write-perf, perf, 256_KB, getattr,1947971.5
 write-perf, perf, 256_KB, open,1390115.0
 write-perf, perf, 256_KB, read,65000.5
 write-perf, perf, 256_KB, release,11766578.0
 write-perf, perf, 256_KB, write,8380641.0
 write-perf, perf, 4_KB, getattr,1467467.0
 write-perf, perf, 4_KB, open,1474167.0
 write-perf, perf, 4_KB, read,4600.0
 write-perf, perf, 4_KB, release,2113419.5
 write-perf, perf, 4_KB, write,7340184.0
 write-perf, perf, 64_B, getattr,1419014.0
 write-perf, perf, 64_B, open,1369164.0
 write-perf, perf, 64_B, read,5000.0
 write-perf, perf, 64_B, release,2061871.0
 write-perf, perf, 64_B, write,6967620.0
